Country,Year,Percentage
Germany,1990,38
Germany,1991,33
Germany,1992,32
Germany,1993,34
Germany,1994,38
Germany,1995,38
Germany,1996,35
Germany,1997,34
Germany,1998,36
Germany,1999,39
Germany,2000,39
Germany,2001,35
Germany,2002,36
Germany,2003,37
Germany,2004,41
Germany,2005,41
Germany,2006,40
Germany,2007,41
Germany,2008,42
Germany,2009,34
Germany,2010,38
Germany,2011,40
Germany,2012,39
Germany,2013,46
Germany,2014,49
Germany,2015,56
Germany,2016,70
Germany,2017,69
Germany,2018,49
Germany,2019,51
Germany,2020,59
Germany,2021,60Â 